ADLINK,ADLINK（えーでぃーりんく）は、産業用電子機器メーカー。
パナソニック電工,"パナソニック電工株式会社（パナソニックでんこう、英: Panasonic Electric Works Co., Ltd.）は、かつて存在した日本の電気機器メーカーである。大阪府門真市に本社を構え、パナソニックグループの照明機器、電気設備、健康家電、住宅機器、建材、制御機器、電子材料、福祉機器などを取り扱う総合メーカーであった。解散後は事業ごとに分割・再編されたものの、中核組織は『パナソニック株式会社　エコソリューションズ社』（社内カンパニー）となっており、旧電工本社組織を引き継いでいる。"
パナソニック溶接システム,"パナソニック溶接システム株式会社（英語: Panasonic Welding Systems Co., Ltd.）は、溶接機、溶接ロボットなどを手掛ける日本の機械メーカーである。"
ハリソン東芝ライティング,ハリソン東芝ライティング株式会社（はりそんとうしばらいてぃんぐ、英語: HARISON TOSHIBA LIGHTING Corporation）は、かつて存在した産業用光源機器メーカーである。
パルステック工業,"パルステック工業株式会社（パルステックこうぎょう、英: PULSTEC INDUSTRIAL CO., LTD.）は、光関連の検査機器を主とした電子機器の製造および販売を手がける株式会社。光に関する高い技術力を持ち、特に光ディスク分野を得意とする。「研究開発主導型モノづくり企業」を提唱しており、近年は同社の持つ光技術を応用し、3次元スキャナや医療分野などへの応用を行っている。2000年3月に東京証券取引所二部上場。"
バルミューダ,バルミューダ株式会社 (英: BALMUDA Inc.) は、日本のプロダクトメーカー。
バンプロジェクト,有限会社バン・プロジェクトは、神奈川県横浜市港北区にある1/24プラモデルを使用したスロットカーのシャーシメーカー。プラモデルボディをスロットカーに取り入れた草分け的存在。シャーシ製品名は、「プラフィット」。スロットカーを実車さながらのレース競技へと引き上げる為、常にスピード、操作性、メンテナンス性の向上をシャーシ設計に取り入れている。同社の走行性能を維持しつつ、ホイルベース、トレッドを好みのボディに合わせて自由自在に変えられる柔軟性のあるシャーシは海外でも高く評価されている。他のシャーシメーカーには、さかつうがある。スピードのバンプロ、作り込みのさかつうと客層が分かれていた。しかし、3代目シャーシ「プラフィット・エクセル」の登場により作り込みも容易となった為、さかつうシャーシを駆逐するかたちとなった。2003年4代目シャーシ「プラフィット3」の登場により、さらにシャーシ性能が向上、プラモデルのボディを使用したスロットカーとしては世界No.1のシャーシメーカーとなった。近年では1/32スケールのボディに合わせたシャーシの開発、販売も行っている。また、シャーシの開発、販売だけでなくサーキットの運営も行っており、従来は1/24が主であったが、近年では1/32スケールの営業サーキットも運営している。
ピーコック魔法瓶工業,"ピーコック魔法瓶工業株式会社（ピーコックまほうびんこうぎょう、The Peacock Vacuum Bottle Co., Ltd.）は、大阪府大阪市福島区に本社を置く、魔法瓶などの製造メーカーである。一般的には旧社名の孔雀印魔法瓶として名が知られている。なおピーコック株式会社は、輸出部門を担当する関連会社であり、ピーコック魔法瓶工業株式会社が親会社である。"
ビーツ・エレクトロニクス,ビーツ・エレクトロニクス（英: Beats Electronics）は、アメリカのオーディオ機器のブランド。
ピーディーシー,"ピーディーシー株式会社（PDC Co., Ltd.）はパナソニックグループのデジタル映像トータルソリューション企業である。「PDC」はPanasonic Digital Communicationsの略。"
ビートソニック,株式会社ビートソニックは、愛知県日進市にあるカーエレクトロニクス機器の製造、販売メーカー。
ピーバンドットコム,株式会社ピーバンドットコム（英: p-ban.com Corp.Japan. ）は、プリント基板事業を行う企業で、東京都千代田区に本拠を置く。プリント基板のインターネット通信販売サイト「P板.com」の運営会社であり、基板の設計・製造・実装をインターネット上で請け負う。同社の前身は株式会社インフロー（2002年創業）で、2012年7月に現在の社名に変更した。取引実績は2012年3月末で11000社を超える。
ピクセラ,株式会社ピクセラ（英: Pixela Corporation）は、日本のコンピュータ周辺機器製造メーカー。
ヒロセ電機,ヒロセ電機株式会社（ひろせでんき）は、東京都品川区に本社を置くコネクタを製造、販売している企業であり、この業界では世界トップメーカーである。コネクタ業界国内最大手。東京証券取引所一部上場。
ファナック,ファナック株式会社（英：FANUC Corporation）は、山梨県南都留郡忍野村に本社を置く、日本の電気機器メーカー。社名のFANUCは「Factory automation numerical control(工場の自動化及び数値制御)」の頭字語である。富士山麓の広大な敷地に本社、研究所、工場等がある。2011年にTOPIX Core30銘柄の一社に選ばれた。日本では珍しく、村の山奥に本社を置いている大企業である。工作機械用CNC装置で世界首位(国内シェア7割)、多関節ロボットで国内首位。古河グループに属しているが、最近では独立性が高まっている。
ファミリーイナダ,ファミリーイナダ株式会社は、マッサージチェアの製造販売を行う企業。本社所在地は大阪府大阪市淀川区。
フィリップス,"コーニンクレッカ フィリップス（Koninklijke Philips N.V. 、英文正式表記：Royal Philips 、Euronext: PHIA  , NYSE: PHG）は、電機・家電製品のメーカーで、オランダのアムステルダムに本拠を置く多国籍企業である。（2013年6月に社名を変更し、社名から「エレクトロニクス」を削除した。なお、日本法人については、社名の変更はなく、「エレクトロニクス」が付されたままとなっている。）日本法人である株式会社フィリップス エレクトロニクス ジャパンは、東京都港区港南に所在。"
フェアチャイルドセミコンダクター,"フェアチャイルドセミコンダクター (Fairchild Semiconductor International, Inc.) はアメリカ合衆国の半導体メーカー。世界で初めて半導体集積回路の商業生産を開始した企業である。後に同社からは様々な人材が独立、幾つかはインテルを始めとする世界的な半導体メーカーへと成長していった。"
フェニックス電機,"フェニックス電機株式会社（フェニックスでんき、英文社名：Phoenix Electric Co., Ltd.）は、兵庫県姫路市に本社を置くプロジェクター用ランプなどを製造、販売するメーカーである。プロジェクター用ランプの大手。露光装置用光源も製造している。現在の会社は、2009年に（旧）フェニックス電機（現・ヘリオス テクノ ホールディング）が持株会社となる際に、会社分割により新設された事業子会社である。"
フォーム化成,"株式会社フォーム化成(ふぉーむかせい、英:FOAM KASEI Co.,Ltd)はプラスチックの加工を主な事業内容とする日本の企業である。"
フォスター電機,"フォスター電機株式会社（フォスターでんき、Foster Electric Company, Limited）は、各種音響機器メーカーで、もっぱらOEM受託を主力とするが、自社ブランドのFostex（フォステクス）による市販商品もある。"
フクダ電子,フクダ電子株式会社（ふくだでんし）は、医療機器を製造販売する企業である。本社所在地は東京都文京区である。
フジ医療器,株式会社フジ医療器（フジいりょうき）は、大阪府大阪市中央区に本社を置く、マッサージチェアなど健康・美容機器の製造、販売、輸出入を行う企業である。
プライムアースEVエナジー,"プライムアースEVエナジー株式会社（プライムアースイーブイエナジー、英: Primearth EV Energy Co., Ltd.）は、ハイブリッド電池、ニッケル・水素蓄電池を製造している企業でトヨタ自動車とパナソニックの合弁会社。"
フライングモール,フライングモール(Flying Mole)は、静岡県浜松市西区に本社を置く音響機器メーカーである。
ブラウン_(企業),ブラウン（Braun GmbH）は、ドイツ・クロンベルク（de:Kronberg im Taunus）に本拠を置く小型電気器具メーカーである。1921年にマックス・ブラウンによって設立された。日本においては電気シェーバーや電動歯ブラシが有名。2005年まではジレットの子会社であったが、2005年からはP&Gによるジレットの買収に伴い同社の子会社になった。
ブラザー工業,"ブラザー工業株式会社（ブラザーこうぎょう、英: Brother Industries, Ltd.）は、愛知県名古屋市瑞穂区苗代町15-1にある電機メーカー。主にプリンター（複合機）、ファクシミリ、ミシンなどを製造している。東京、名古屋各証券取引所第一部上場。"
ぷらっとホーム,ぷらっとホームは、東京都千代田区に本社を置くコンピュータ周辺機器やネットワーク機器の販売を（一部企画製造も）行う企業。PC-UNIXをはじめとするUnix関係に強く、独自企画のネットワーク・アプライアンスでも知られている。名前は「プラットフォーム」に「ぷらっと立ち寄れるアットホームなお店」の意を掛けている。
プラネックスホールディング,プラネックスホールディング株式会社（英: PLANEX HOLDING INC.）は、ネットワーク機器の開発・販売、新車・中古車販売と金融事業を行う企業の持株会社。PC周辺機器、PCパーツの販売や、携帯電話のデータ処理ソフトの開発も行っている。本社は東京都渋谷区に所在する。
フリーコム・テクノロジーズ,フリーコム・テクノロジーズ株式会社（英語名：Freecom Technologies K.K.）は、東京都千代田区に本社を置く、パソコン周辺機器の製造輸入・販売会社である。フリーコムグループとしては、オランダに本部があり、ドイツで製品開発、研究開発、プロジェクト管理、物流部門を行い、ヨーロッパ主要都市、オランダ、ドイツ、オーストリア、スウェーデン、イギリス、フランス、スペイン、イタリアに営業所を持つ。IPOオフィスは香港、アジア営業所は東京、台湾、香港、上海にある。フリーコムグループは、三菱化学メディアの子会社である。
ブロードワイヤレス,ブロードワイヤレス株式会社は、古河電工、住友電工、両社のアンテナ関連事業の共同出資会社。主に放送用アンテナ等の給電部品の開発・設計を行なっていた企業である。
ブロケード_コミュニケーションズ_システムズ,"ブロケード コミュニケーションズ システムズ（Brocade Communications Systems, Inc.） は、米国カリフォルニア州シリコンバレーに本拠を置くコンピュータネットワーク・プラットフォーム機器ベンダーである。"
ベスタクス,ベスタクス（Vestax）は、かつて存在した日本の音楽機材メーカー・ブランド名である。主にDJ関連機材の製造・販売を行っていた。ホームユースからプロユースまでの幅広いラインナップが揃っており、DJミキサーなどはプロDJの愛用者も多い。経営不振による資金繰りの悪化から、2014年（平成26年）12月5日に東京地方裁判所から破産手続き開始の決定を受けた。なお、ブランド名Vestaxを「ベスタックス」と発音する人が多いが、社名上の表記は「ベスタクス」である。
ヘリオス_テクノ_ホールディング,"ヘリオス　テクノ　ホールディング株式会社（英文社名：Helios Techno Holding Co., Ltd.）は、兵庫県姫路市に本社を置く持株会社である。"
ヘルツ_(企業),"株式会社ヘルツ(へるつ：Hertz Co.,Ltd.)は、新潟県長岡市に本社を持つ電子機器および機械設備を製造するメーカー。主な商品はテレビ等に付属される赤外線リモコン装置やFA機器などである。"
ベルニクス,株式会社ベルニクスは、埼玉県さいたま市南区に本社を置く、先端電源技術を扱う企業である。海外製品の代理店・OEMなども行なっている。社名ロゴはBellnixとなっている。
ホーチキ,ホーチキ株式会社は、日本で初めて誕生した火災報知機メーカーである。会社名は報知器をカタカナ化したものである。東京海上火災保険（現東京海上日動火災保険）などの損害保険会社や生命保険会社などの出資により設立される。火災報知設備、消火設備・ニューメディア・セキュリティシステムなどの開発・製造・販売・施工・保守を行う能美防災に続く業界大手のメーカーである。東京証券取引所第1部に上場している。綜合警備保障（ALSOK）と提携関係。
ホシデン,ホシデン株式会社は、大阪府八尾市に拠点を構える企業。コネクタ、ジャック、スイッチ、電磁弁等の製造を手掛ける。過去には液晶表示素子（パッシブ、アクティブ共）の開発・製造・販売も手がけていたが、アクティブタイプについては平成9年に、フィリップスとの合弁会社であるホシデン・フィリップス・ディスプレイ株式会社（後に合弁は解消）に事業譲渡した。
マイクロチップ・テクノロジー,マイクロチップ・テクノロジー（英: Microchip Technology、NASDAQ: MCHP）は、アメリカの半導体製造業者であり、マイクロコントローラ、メモリ、アナログICなどを主に製造販売している。
マイクロニクス,マイクロニクス株式会社は、日本の高周波電子計測器・情報通信機器・環境関連機器のメーカーとして知られている。本社は神奈川県相模原市。事業所は東京都八王子市で実質的な開発・製造・営業は八王子事業所で行われている。
マイクロンジャパン,マイクロンジャパン(MJP)は東京都港区に本社を置き、半導体メモリのDRAMの研究開発・設計を事業とする電機メーカーである。なお、同社は、マイクロンメモリジャパン(MMJ)と共にマイクロン・テクノロジ(MTI)の傘下であり、同一人物(木下嘉隆)が両社の代表取締役を務めているが、それぞれ別の法人である。
マイクロンメモリジャパン,マイクロンメモリジャパン(MMJ)は東京都中央区に本社を置き、半導体メモリのDRAMの研究開発・設計・製造・販売を事業とする電機メーカーで、日本における唯一のDRAM専業メーカーでもある。なお、同社は、マイクロンジャパン(MJP)と共にマイクロン・テクノロジ(MTI)の傘下であり、同一人物(木下嘉隆)が両社の代表取締役を務めているが、それぞれ別の法人である。
マイクロン秋田,マイクロン秋田株式会社（マイクロンあきた）はDRAMを中心とした半導体の先端・特殊パッケージ開発・設計・組立・テスト等の事業を行う株式会社である。マイクロンメモリジャパンの生産部門子会社で、秋田県秋田市に本社を置く。2014年2月27日までの社名は秋田エルピーダメモリ。
マウスコンピューター,"株式会社マウスコンピューター（英語：MouseComputer Co.,Ltd.）は、東京都千代田区に本社を置く、パソコンの製造・販売を行っている企業（パソコンメーカー）である。通信販売によるBTOを主たる販売方法とする、いわゆる直販メーカーである。2006年10月に株式会社MCJから会社分割されて設立した。2008年10月にパソコン機器メーカーの株式会社イーヤマを吸収合併しており、iiyamaブランドのモニターの発売元でもある。"
マスプロ電工,マスプロ電工株式会社（マスプロでんこう、英: Maspro Denkoh Corp.）は、テレビ用受信アンテナ等を製造・販売する日本の電気機器メーカーである。
マハーポーシャ,マハーポーシャとは、かつてオウム真理教の関連会社が経営していた、PC/AT互換機の自社組立てパソコン、いわゆる「ホワイトボックスパソコン」を販売していた店舗およびそのショップブランドの名称である。
マブチモーター,マブチモーター株式会社は、小型モーターに特化した会社で、世界シェアの有鉄心モーターで業界一番のシェアを占める電気機器の大手。小型モーターは現在では全製品をアジアを中心とする海外の工場で生産しており、日本にあるのは本社と研究所の機能のみである。現在の同社の売上の内訳は、ミラーやドアロックなどに用いる自動車電装機器が約40%を占め、音響・映像機器のCD/DVDドライブ用モーターが約20%、インクジェットプリンターやデジタルカメラなど情報機器関連が約17%などとなっている（2007年12月期のデータより）。
ミツバ_(企業),株式会社ミツバ（英: Mitsuba Corporation）は、日本の大手自動車部品メーカー。モーター、ランプ、ミラー、ホーンなどの製造、販売を手がけている。歴史的に本田技研工業との関係性が強いが、今日では他社との取引も盛ん。自動車社会の発展と共に、拡大成長してきた。
ミツミ電機,"ミツミ電機株式会社（ミツミでんき、MITSUMI ELECTRIC CO., LTD.）は東京都多摩市に本社を置く電機部品メーカー。"
ミネベア,ミネベア株式会社は、長野県北佐久郡御代田町に本社を置くベアリング、モーターを中心とする電器部品メーカー。直径22mm以下の小径・ミニチュアサイズのボールベアリングでは、シェア世界一である。略称はNMB（Nippon Miniature Bearing）。生産の6割をタイ王国で行うほか、中華人民共和国などにも工場を持つ。高橋高見が会長・社長時代、多角化を目指し、M&Aを積極的に行い規模が拡大し、一時はミネベア航空という自社専用の貨物航空会社まで持つ程であった。しかし、収益力の低下と下諏訪町にある三協精機製作所（現日本電産サンキョー）の買収に失敗し本業回帰に転換している。（三協精機は2003年に日本電産が買収）新中央工業を合併、ミネベア大森工場とし、以来警察や自衛隊向けの拳銃や機関拳銃も開発・製造している。また、日経平均株価の決定に影響力がある大企業で構成される日経225銘柄のうちの一社である。
ミマキエンジニアリング,"株式会社ミマキエンジニアリング（英: MIMAKI ENGINEERING CO., LTD.）は、日本のコンピュータ周辺機器の製造販売会社。主に業務用の大型インクジェットプリンター、カッティングプロッターなどを製造販売している。"
ミミー電子,ミミー電子株式会社は、東京都立川市に本社のある補聴器・聴力測定器・磁気誘導ループのメーカーである。大手補聴器メーカーに勤めていた創業者が1979年に設立、当初は医療機関向けに聴力検査器を製作していたが、納入先の耳鼻科医が行っていた研究をもとに補聴器の開発に着手した。1997年に利用者自らが音を調整できる補聴器を発売、以降、調整機能付きの補聴器では各種の発売実績がある。
ムラタ・エレクトロニクス_(フィンランド),ムラタ・エレクトロニクス (Murata Electronics Oy) は、フィンランドに本社を置く電気機器メーカー。3D-MEMS技術に基づくセンサなどの開発・製造を行う。村田製作所のヨーロッパ現地法人 Murata Electronics Europe の100%子会社である。フィンランドの国営研究機関が開発した技術を出発点とした企業であり、数度のオーナー変更で投資ファンドの所有となっていたが、ファンド側の打診により2011年に村田製作所に買収された。
メガチップス,株式会社メガチップス（MegaChips Corporation）は、半導体メーカーを総括する日本の純粋持株会社。
メドトロニック,"日本メドトロニック株式会社は、心臓ペースメーカ等の医療機器を製造販売する企業である。本店所在地は東京都港区の汐留イタリア街。本社は米国ミネソタ州ミネアポリスに存在する。1949年、Earl BakkenとPalmer Hermundslieにより医療機器修理会社として設立され、1950年代に世界初の電池式心臓ペースメーカ、1960年代後半に世界初の植込型心臓ペースメーカを開発したことから巨大企業に成長を遂げている。心臓ペースメーカでは世界最大のシェアを誇り、世界120カ国以上の国々で250を超える拠点を構え45,000人が働くグローバルな医療機器企業である。コンシューマ向け製品が無い為一般的に知名度は低いが、専門の医師の中での知名度は非常に高い。グローバルでの売上高は166億US＄、営業利益率30％を超えており医療機器メーカーの中でもトップの売上高と利益率を誇る企業である。メイン商材のペースメーカは市場シェア3～4割を占めており、IDCという埋め込み型ペースメーカでは6～7割の非常に高いシェアを持っている。また給与水準は業界内でもトップクラスで待遇が良い事でも知られている。"
メルコホールディングス,株式会社メルコホールディングス（英: MELCO HOLDINGS INC.）は、愛知県名古屋市に本社を置く持株会社。
ヤーマン,ヤーマン株式会社は、東京都江東区に本社を置く美容・健康機器メーカー。最近ではテレビCMを中心とした通信販売事業にも進出している。美容ローラー（プラチナゲルマローラー）を主力商品としている。
ヤンマーエネルギーシステム,ヤンマーエネルギーシステム株式会社は大阪市北区に本社を置く日本のヤンマーホールディングス（旧・ヤンマー）グループの企業である。
ユーイング_(企業),"株式会社ユーイング（U-ING Co., Ltd.）は、大阪府大阪市浪速区湊町に本社を置く電気機器などの製造・販売を主な事業とする電気機器メーカー。旧社名は森田電工株式会社（もりたでんこう）であり、ブランド名のMORITA（モリタ）はそれに由来する。CIは「It's for you. ユーイングはあなたのために」。"
ユーレックス,ユーレックス（eureks）は、長野県茅野市に本社を置く、日本で唯一の国産オイルヒーター製造メーカーである。資本金4000万円。従業員数13人。
ユニデンホールディングス,ユニデンホールディングス株式会社（Uniden Holdings Corporation）は、東京都中央区に本社を置く無線通信機器メーカー。（開発、製造、販売しているのはあくまでコードレスフォンとコーデッドフォン、無線機であり、その他の先端的な通信機器（携帯電話、PHS、スマートフォン等）は現在一切、開発、製造、販売していない。
ユニパルス,ユニパルス株式会社（英: Unipulse Corporation）は、東京都中央区に本社を置く計測制御機器・FAメーカー。
ユピテル_(企業),株式会社ユピテルは、日本の無線通信機器メーカーである。レーダー探知機、リモコンエンジンスターター、ポータブルカーナビゲーション、カーセキュリティ（盗難防止装置）、ドライブレコーダーなどの自動車用電装機器ワイドバンドレシーバー（広域帯無線受信機）、トランシーバーなどの無線機器ゴルフ用スピード測定器などのセンサ機器を開発・製造・販売しており、日本国内ではレーダー探知機の主要なサプライヤーの一つとなっている。
ヨコオ,株式会社ヨコオは、自動車用アンテナ製造大手メーカー。
ラックスマン,ラックスマン株式会社 (Luxman Corporation) は、日本の音響機器メーカー。1925年NHKラジオ放送開始と同時期に大阪市心斎橋で創業、現在は神奈川県横浜市港北区新横浜に本社を持つ。アンプ等のピュアオーディオ製品において強いブランド力を持ち、その音は、俗にラックストーンと呼ばれる。
ランク・ゼロックス,ゼロックス・リミテッド (Xerox Limited) は、米ゼロックス社のイギリス現地法人の100%子会社である。かつては英ランク・オーガニゼーション社との合弁だった。ゼロックス社の製品を欧州・アフリカ・アジアで製造・販売している。
リアルビジョン,株式会社リアルビジョン（RealVision Inc.）は、東京都港区に本社を置く高精度グラフィックボードやグラフィック用LSIなどを製造、販売する企業である。2000年代前半は積極的な海外進出を行っていたが、2009年以降は従来の事業を大幅に縮小。現在は組込機器・ソフトウエア関連の株式会社ソアーシステム、人材派遣等の株式会社上武の子会社2社の事業がグループの主力事業となっている。
リオン,"リオン株式会社（英: RION Co., Ltd.）は、東京都国分寺市に本社を置く、日本の電気機器メーカー。国内補聴器業界最大手。"
リコー,株式会社リコーは、日本の事務機器、光学機器などの製造を行っているメーカーである。主に複写機、ファクシミリ、レーザープリンターやそれらの複合機、デジタルカメラなどの製造・販売を手掛ける。創業者は市村清。
リチウムエナジージャパン,"株式会社リチウムエナジージャパン（英: Lithium Energy Japan）は、滋賀県栗東市に本社を置く、リチウムイオン二次電池の開発・製造・販売を行う株式会社。ジーエス・ユアサコーポレーション（以下「GSユアサ」）、三菱商事、三菱自動車工業が出資して、2007年12月12日に設立した。出資比率はそれぞれGSユアサが51%、三菱商事が34%、三菱自動車が15%。資本金の額は20億円。設立当初の本社は京都府のGSユアサ本社内にあったが、2011年7月19日に滋賀県栗東市に建設した栗東工場内へ移転した。設立当初はGSユアサの本社内工場で生産をする予定であったが、より生産能力を高めるため滋賀県草津市に工場用地を買収し、第2の工場を建設した（敷地面積は20,048m、建屋面積は7,873m）。その後さらに、滋賀県栗東市の建設が凍結された南びわ湖駅（東海道新幹線栗東新駅）の予定地を買収し、第3の工場を建設するとともに上述のように本社も移転した。同社の製造する電池は三菱の電気自動車・i-MiEVにも搭載されている。滋賀工場が完成した後は、リチウムイオン電池のセル「LEV50」を年間20万セル（i-MiEV 2000台分）を生産する。"
リバーエレテック,リバーエレテック株式会社（RIVER ELETEC CORPORATION ）は、山梨県韮崎市に本社を置く水晶振動子などの開発、製造、販売を行う企業である。
ルクス_(企業),株式会社ルクス（ルクス、英文社名：Lux Co.）は、ランプの販売、メンテナンスを行う企業である。
ルネサス_セミコンダクタ_パッケージ&テスト_ソリューションズ,ルネサス セミコンダクタ パッケージ&テスト ソリューションズ株式会社は半導体、特に集積回路 (LSI) の後工程製造を行う会社。ルネサス エレクトロニクスの完全子会社。
ルネサス_セミコンダクタ_マニュファクチュアリング,ルネサス セミコンダクタ マニュファクチュアリング株式会社とは、茨城県ひたちなか市に本社があるルネサス エレクトロニクスの生産子会社である。主力事業は、ルネサス エレクトロニクスの半導体生産における前工程である。
ルネサスエレクトロニクス,ルネサス エレクトロニクス株式会社(英語: Renesas Electronics Corporation)は、東京都江東区に本社、川崎市中原区に本店を置く大手半導体メーカー。三菱電機および日立製作所から分社化していたルネサステクノロジと、NECから分社化していたNECエレクトロニクスの経営統合によって、2010年(平成22年)4月に設立された。社名に冠する『Renesas』は、あらゆるシステムに組み込まれることで世の中の先進化を実現していく真の半導体のメーカーとして「Renaissance Semiconductor for Advanced Solutions」を標榜して名付けられたものであり、ここには日本から世界に向けた半導体産業復興の意が込められている。
ルビコン_(企業),ルビコン株式会社（Rubycon Corporation ）は、長野県伊那市に本社を構えるアルミ電解コンデンサを中心に扱っている電子部品メーカーである。
レイキ_(企業),レイキ株式会社は、かつて存在した日本の業務用冷蔵機器メーカー。
レイテックス,株式会社レイテックスは、東京都渋谷区に本社を置く、半導体ウェーハ検査装置や、測定装置の製造販売を行う企業である。
レノボ,レノボ（英：Lenovo Corporation、日本漢字：聯想集団または連想集団（れんそうしゅうだん）、簡体字：想集、ピン音：Linxing Jtun）は、中国北京とアメリカ合衆国ノースカロライナ州モリスビルに本社を置く中国のパーソナルコンピュータ (PC) メーカー。中国ではスマートフォンメーカーとしても認知されている。2014年現在、出荷台数で世界最大のPCベンダーである。日本法人はレノボ・ジャパン株式会社である。
ロイヤル工業,"ロイヤル工業株式会社（ロイヤルこうぎょう、英: ROYAL INDUSTRIES CO., LTD.）は、かつて愛知県名古屋市南区に本社を置いていた電気機器メーカー。"
ローム,"ローム株式会社（英: ROHM Co., Ltd.）は、京都府京都市右京区に本社を置く電子部品メーカー。おもな製品はLSI、トランジスタ、ダイオード、LED、抵抗器である。"
ローム・ワコー,"ローム・ワコー株式会社（ROHM Wako Co.,Ltd.）は、岡山県笠岡市に本社を置くローム株式会社のグループ会社の電子部品メーカーである。"
ローヤル電機,ローヤル電機株式会社（ローヤルでんき）は、東京都港区に本社を置く浴室用照明器具・送風機(軸流ファン・クロスファン)を製造する業界大手。近年では24時間換気システムにも力を入れている。小田原エンジニアリングの連結子会社であり子会社5社・関連会社1社でローヤル電機グループを構成している。
ローランド_ディー._ジー.,ローランド ディー. ジー.株式会社（英: Roland DG Corporation）は、日本のコンピュータ周辺機器の製造販売会社であり、広告・看板用インクジェットプリンタでは世界屈指である。社名のDGはDigital Groupの略。
ロジカルプロダクト,株式会社ロジカルプロダクトは、福岡県福岡市南区に本社を置く無線を活用した組み込みシステム/電子機器の受託開発および製造、委託研究、システム開発、技術コンサルティングを業務とする企業。リハビリ用途などに向けた運動・生体信号計測パッケージを開発した。オリンピック金メダリストである室伏広治が慶応義塾大学の太田憲らの研究グループと共同で実験を進めているトレーニング手法「聴覚フィードバック法」で用いられる小型センサとコントローラ装置を開発した。
ロジクール,株式会社ロジクール（Logicool）は、コンピュータの周辺機器の製造販売を行う株式会社である。
ロジテック,ロジテック株式会社（英: Logitec Corp.）は、日本のコンピュータ周辺機器メーカー。エレコムの100%子会社で各種インターフェース機器、液晶モニター、シンクライアント端末の開発、近年はAV機器等の開発等など幅広い製品を持つ。尚、エイベックス・グループのメモリーテックとの関連会社であるメディアロジテック株式会社とは資本関係を一切持たない別会社である。
ワイ・イー・データ,株式会社ワイ・イー・データは、埼玉県入間市に本社を置き、パソコン周辺機器などの製造、販売を手がけている。また、データ復旧事業も行っている。安川電機の子会社。
ワコム,"株式会社ワコム（英: Wacom Co., Ltd.）は、埼玉県に本社を置く、電子機器開発事業を行う企業。東京証券取引所第一部上場。"
ワング・ラボラトリーズ,ワング・ラボラトリーズ（英: Wang Laboratories）は、アン・ワング（王安）と G. Y. Chu が1951年に創立したコンピュータ企業。1980年代には、3万人の従業員を抱え、年間30億ドルの売り上げを達成していた。アン・ワングは、事業戦略と製品戦略を常に1人で指揮していた。アン・ワングは、同社が株式公開されるにあたって、ワング（王）一族が実権を握り続けられるような仕組みを採用した。株式をクラスBとクラスCの2種類にわけ、議決権がクラスCの10分の1であるクラスBの比率を大きくした。市場で売買されたのは主にクラスBで、ワング一族はクラスCの株式を保有し続けた。ワング・ラボラトリーズの株式はニューヨーク証券取引所(NYSE)に上場されたが、このようなやり方はNYSEの規定では許されず、同社の株式はNYSEからは撤退し、アメリカン証券取引所に移管された。アン・ワングの指揮の下で、同社は次々と異なる市場の製品を発売していった。
愛知電機,"愛知電機株式会社（あいちでんき、英: AICHI ELECTRIC CO., LTD.） は、愛知県春日井市に本社を置く中部電力グループの変圧器メーカーである。名古屋証券取引所第一部単独上場銘柄のひとつでもある（証券コードは6623）。スポーツ活動において、女子陸上部は全日本実業団対抗女子駅伝への出場実績を持つ。"
安川電機,株式会社安川電機（やすかわでんき）は、福岡県北九州市八幡西区に本社を置く、産業用ロボット等メカトロニクス製品の製造を行うメーカーである。第一勧銀グループ。産業用ロボットの生産台数で世界1位を誇る。サーボモーターやインバーターも共に世界首位。東京証券取引所一部・福岡証券取引所上場。
営電,"営電株式会社（えいでん、英: EIDEN Co., Ltd.）は神奈川県川崎市に本社を置く電気機器メーカー。放送・通信機器や電子応用計測器の開発・製造・販売を行う。テレビ受像機の品質チェックを行うテスト用テレビ信号発生器の、日本国内におけるシェアは90%を越える。"
永楽電気,永楽電気株式会社（えいらくでんき）は，東京都品川区大崎にある，電力機器・情報通信機器・その他機器の設計・製作および製品に付帯する工事の設計・施工を行う会社である。また，東日本旅客鉄道（JR東日本）の発車メロディを提供している会社でも知られている。また，多くの駅の電子電鈴装置の納入も行っており，日本国有鉄道（国鉄）時代は同社製の放送装置と併せて，日本各地で使われていた。
遠藤照明,株式会社遠藤照明（えんどうしょうめい、英: ENDO Lighting Corporation）は、日本の大手照明器具専門メーカー。本社は大阪市中央区。
横河メータ&インスツルメンツ,横河メータ＆インスツルメンツ（よこがわメータアンドインスツルメンツ）は、横河電機グループの計測器メーカー。
横河電機,横河電機株式会社（よこがわでんき - Yokogawa Electric Corporation）は、東京都武蔵野市に本社を置く、工業計器・プロセス制御専業メーカーである。計測・制御機器メーカーとしては国内最大手。世界第三位にして老舗企業である。この分野の国内成長が鈍化しているために、同社の事業の約60％が海外で展開され、従業員も約60%が外国籍というグローバル企業になった。東京証券取引所一部に上場。横河電機グループの事業持株会社としての機能も有する。芙蓉グループに所属。
